fips	county	state	medvalue
1001	"Autauga County, Alabama"	al	136200
1003	"Baldwin County, Alabama"	al	168600
1005	"Barbour County, Alabama"	al	89200
1007	"Bibb County, Alabama"	al	90500
1009	"Blount County, Alabama"	al	117100
1011	"Bullock County, Alabama"	al	70600
1013	"Butler County, Alabama"	al	74700
1015	"Calhoun County, Alabama"	al	100600
1017	"Chambers County, Alabama"	al	81200
1019	"Cherokee County, Alabama"	al	99400
1021	"Chilton County, Alabama"	al	102600
1023	"Choctaw County, Alabama"	al	58200
1025	"Clarke County, Alabama"	al	85600
1027	"Clay County, Alabama"	al	79900
1029	"Cleburne County, Alabama"	al	100800
1031	"Coffee County, Alabama"	al	131000
1033	"Colbert County, Alabama"	al	99300
1035	"Conecuh County, Alabama"	al	69600
1037	"Coosa County, Alabama"	al	75100
1039	"Covington County, Alabama"	al	88800
1041	"Crenshaw County, Alabama"	al	70800
1043	"Cullman County, Alabama"	al	106100
1045	"Dale County, Alabama"	al	99400
1047	"Dallas County, Alabama"	al	75700
1049	"DeKalb County, Alabama"	al	93400
1051	"Elmore County, Alabama"	al	144600
1053	"Escambia County, Alabama"	al	84100
1055	"Etowah County, Alabama"	al	100000
1057	"Fayette County, Alabama"	al	71400
1059	"Franklin County, Alabama"	al	82300
1061	"Geneva County, Alabama"	al	78100
1063	"Greene County, Alabama"	al	72700
1065	"Hale County, Alabama"	al	79900
1067	"Henry County, Alabama"	al	97000
1069	"Houston County, Alabama"	al	122300
1071	"Jackson County, Alabama"	al	93400
1073	"Jefferson County, Alabama"	al	140800
1075	"Lamar County, Alabama"	al	66800
1077	"Lauderdale County, Alabama"	al	114300
1079	"Lawrence County, Alabama"	al	94200
1081	"Lee County, Alabama"	al	146900
1083	"Limestone County, Alabama"	al	134500
1085	"Lowndes County, Alabama"	al	71400
1087	"Macon County, Alabama"	al	75700
1089	"Madison County, Alabama"	al	164500
1091	"Marengo County, Alabama"	al	89600
1093	"Marion County, Alabama"	al	78700
1095	"Marshall County, Alabama"	al	114000
1097	"Mobile County, Alabama"	al	124300
1099	"Monroe County, Alabama"	al	76900
1101	"Montgomery County, Alabama"	al	122900
1103	"Morgan County, Alabama"	al	120500
1105	"Perry County, Alabama"	al	58000
1107	"Pickens County, Alabama"	al	81900
1109	"Pike County, Alabama"	al	101000
1111	"Randolph County, Alabama"	al	88600
1113	"Russell County, Alabama"	al	104400
1115	"St. Clair County, Alabama"	al	134600
1117	"Shelby County, Alabama"	al	193000
1119	"Sumter County, Alabama"	al	74100
1121	"Talladega County, Alabama"	al	92600
1123	"Tallapoosa County, Alabama"	al	94900
1125	"Tuscaloosa County, Alabama"	al	153300
1127	"Walker County, Alabama"	al	82100
1129	"Washington County, Alabama"	al	83900
1131	"Wilcox County, Alabama"	al	67000
1133	"Winston County, Alabama"	al	82500
2013	"Aleutians East Borough, Alaska"	ak	118500
2016	"Aleutians West Census Area, Alaska"	ak	218400
2020	"Anchorage Municipality, Alaska"	ak	282800
2050	"Bethel Census Area, Alaska"	ak	189600
2060	"Bristol Bay Borough, Alaska"	ak	175000
2068	"Denali Borough, Alaska"	ak	192500
2070	"Dillingham Census Area, Alaska"	ak	194000
2090	"Fairbanks North Star Borough, Alaska"	ak	212500
2100	"Haines Borough, Alaska"	ak	171900
2105	"Hoonah-Angoon Census Area, Alaska"	ak	200500
2110	"Juneau City and Borough, Alaska"	ak	309900
2122	"Kenai Peninsula Borough, Alaska"	ak	204900
2130	"Ketchikan Gateway Borough, Alaska"	ak	265600
2150	"Kodiak Island Borough, Alaska"	ak	224500
2164	"Lake and Peninsula Borough, Alaska"	ak	136400
2170	"Matanuska-Susitna Borough, Alaska"	ak	218900
2180	"Nome Census Area, Alaska"	ak	142800
2185	"North Slope Borough, Alaska"	ak	154600
2188	"Northwest Arctic Borough, Alaska"	ak	131000
2195	"Petersburg Census Area, Alaska"	ak	215100
2198	"Prince of Wales-Hyder Census Area, Alaska"	ak	162500
2220	"Sitka City and Borough, Alaska"	ak	323200
2230	"Skagway Municipality, Alaska"	ak	305600
2240	"Southeast Fairbanks Census Area, Alaska"	ak	175000
2261	"Valdez-Cordova Census Area, Alaska"	ak	177700
2270	"Wade Hampton Census Area, Alaska"	ak	109300
2275	"Wrangell City and Borough, Alaska"	ak	157400
2282	"Yakutat City and Borough, Alaska"	ak	147500
2290	"Yukon-Koyukuk Census Area, Alaska"	ak	106500
4001	"Apache County, Arizona"	az	83100
4003	"Cochise County, Arizona"	az	146200
4005	"Coconino County, Arizona"	az	220400
4007	"Gila County, Arizona"	az	134000
4009	"Graham County, Arizona"	az	122200
4011	"Greenlee County, Arizona"	az	81000
4012	"La Paz County, Arizona"	az	88800
4013	"Maricopa County, Arizona"	az	176500
4015	"Mohave County, Arizona"	az	133900
4017	"Navajo County, Arizona"	az	112200
4019	"Pima County, Arizona"	az	167500
4021	"Pinal County, Arizona"	az	120200
4023	"Santa Cruz County, Arizona"	az	140000
4025	"Yavapai County, Arizona"	az	184100
4027	"Yuma County, Arizona"	az	118000
5001	"Arkansas County, Arkansas"	ar	75500
5003	"Ashley County, Arkansas"	ar	62500
5005	"Baxter County, Arkansas"	ar	120000
5007	"Benton County, Arkansas"	ar	147500
5009	"Boone County, Arkansas"	ar	106400
5011	"Bradley County, Arkansas"	ar	62900
5013	"Calhoun County, Arkansas"	ar	58300
5015	"Carroll County, Arkansas"	ar	120000
5017	"Chicot County, Arkansas"	ar	54700
